district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
AZ-09,57.07,4.1,31.05,1.96,5.82,22.59,15.79,48.3,6.79,29.12,17.93,24.17,31.17,26.73,40.7,76350.0,836316.0,ACS_2023_5yr
CA-01,64.54,1.7,22.92,3.65,7.19,28.51,22.53,44.91,5.99,26.57,19.97,24.14,30.74,25.16,41.3,83183.0,765487.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-02,72.95,1.63,13.05,4.16,8.2,39.81,32.48,43.15,7.33,17.04,15.86,21.95,33.58,28.61,45.2,99999.0,765001.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-03,60.99,5.18,16.46,10.39,6.98,37.33,26.37,36.35,10.96,26.32,17.5,25.91,32.39,24.2,42.1,97694.0,763291.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-04,54.61,2.18,27.46,9.76,5.99,32.75,21.96,35.36,10.8,31.89,22.62,24.35,30.39,22.63,39.3,96620.0,758116.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-05,59.46,2.45,25.5,6.15,6.45,28.56,19.45,42.12,9.11,29.33,17.83,25.14,32.36,24.68,41.1,91606.0,770847.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-06,54.53,6.54,19.82,11.83,7.27,34.22,20.5,35.91,13.72,29.87,19.87,29.15,31.78,19.2,38.1,98520.0,757442.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-07,43.92,8.22,20.72,19.82,7.32,35.66,19.07,27.2,16.59,37.14,19.03,26.85,32.5,21.62,40.1,104216.0,758734.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-08,33.53,13.36,28.01,18.36,6.74,32.14,14.06,21.56,18.08,46.3,19.44,27.36,31.91,21.29,39.6,104871.0,764945.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-09,29.07,11.15,34.46,19.28,6.03,23.32,8.18,23.09,15.14,53.6,22.12,27.77,32.3,17.81,36.3,101500.0,762401.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-10,52.85,3.82,17.92,19.72,5.69,53.0,30.31,23.11,22.69,23.89,15.84,25.62,35.64,22.9,42.4,157751.0,759118.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-11,44.64,5.17,13.19,31.34,5.66,64.09,34.51,9.28,29.58,26.64,19.06,32.98,28.39,19.57,40.6,151067.0,759192.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-12,35.19,15.48,21.18,21.78,6.37,53.58,27.9,9.18,25.68,37.24,21.79,30.25,29.21,18.74,38.4,113792.0,758548.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-13,24.33,3.74,60.48,7.57,3.88,12.92,5.39,20.39,7.53,66.68,25.35,29.3,29.78,15.56,32.0,69907.0,758808.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-14,27.03,4.76,21.73,40.89,5.58,49.78,13.2,13.87,36.58,36.35,16.57,30.72,34.28,18.43,40.2,152972.0,760582.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-15,30.18,2.69,24.65,37.11,5.37,48.39,18.73,12.15,29.66,39.46,17.43,28.39,33.28,20.89,40.8,152690.0,759058.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-16,45.28,1.96,18.08,29.95,4.72,61.92,32.0,13.63,29.92,24.45,18.29,26.0,34.28,21.44,41.2,172834.0,758780.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-17,23.36,2.1,15.82,54.97,3.74,63.41,14.45,9.06,48.96,27.53,21.46,32.59,30.21,15.74,37.8,178171.0,758885.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-18,22.04,2.06,61.12,11.45,3.32,23.24,9.38,14.01,13.86,62.75,23.7,28.6,31.28,16.42,35.0,105399.0,770826.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-19,51.71,2.23,21.98,18.6,5.48,47.03,28.25,25.33,18.78,27.64,20.2,23.47,32.66,23.67,42.3,134899.0,758545.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-20,51.34,3.13,33.88,6.27,5.39,25.87,15.29,36.78,10.58,37.35,20.88,28.6,31.11,19.41,36.3,89246.0,762909.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-21,22.68,4.61,59.63,9.69,3.39,17.23,7.51,18.23,9.72,64.55,25.16,29.63,28.63,16.57,32.1,63654.0,756411.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-22,17.02,5.23,69.81,5.19,2.75,10.92,3.7,15.31,7.22,73.77,27.72,29.88,28.99,13.41,30.3,60676.0,778145.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-23,43.54,8.01,38.73,4.42,5.3,19.01,10.56,33.75,8.44,47.24,21.08,27.97,31.41,19.54,36.3,76111.0,769312.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-24,54.04,1.68,34.0,5.54,4.74,38.5,28.3,28.63,10.2,32.87,26.44,22.36,28.44,22.77,39.3,99227.0,764734.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-25,33.29,3.69,56.17,3.46,3.4,22.25,12.53,23.17,9.72,54.59,20.64,24.8,29.34,25.23,39.4,73064.0,763761.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-26,46.61,2.25,38.01,8.93,4.2,38.55,24.09,23.52,14.47,37.93,19.56,25.16,33.76,21.52,40.2,119600.0,758413.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-27,34.37,9.47,42.36,9.51,4.29,28.59,13.44,22.17,15.15,49.24,20.8,27.15,34.88,17.18,37.0,99664.0,760129.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-28,28.14,3.93,25.71,39.04,3.18,46.38,16.25,12.55,30.13,41.07,16.2,25.58,34.5,23.72,43.3,110721.0,758019.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-29,25.12,4.08,59.58,8.51,2.71,25.51,11.36,14.3,14.15,60.19,22.84,29.31,31.9,15.95,36.6,78533.0,757430.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-30,57.06,3.5,21.98,12.88,4.58,50.34,31.02,25.5,19.32,24.16,18.84,31.75,30.16,19.24,40.5,95621.0,758223.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-31,20.9,3.41,53.16,19.72,2.8,29.05,7.41,13.13,21.64,57.82,20.91,25.87,33.38,19.84,39.3,98387.0,758733.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-32,55.84,3.75,22.79,12.85,4.77,50.86,32.88,23.57,17.98,25.56,18.58,26.38,33.45,21.59,41.8,126471.0,758634.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-33,20.83,10.44,57.08,8.16,3.49,22.65,7.43,14.14,15.22,63.21,25.31,29.52,30.73,14.44,33.5,90536.0,757177.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-34,12.37,4.46,61.62,19.02,2.53,28.6,8.24,4.79,20.35,66.61,23.35,30.88,29.61,16.16,36.5,67664.0,757694.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-35,20.96,6.34,55.37,14.05,3.28,26.6,7.74,14.12,18.86,59.28,23.88,28.93,32.52,14.67,35.4,99387.0,765081.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-36,57.55,3.5,15.46,17.73,5.76,66.5,41.21,16.95,25.29,16.55,19.86,27.62,31.38,21.14,41.5,136255.0,758224.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-37,14.6,23.62,50.34,7.32,4.13,28.83,9.78,4.69,19.05,66.48,25.43,29.27,29.88,15.42,35.6,70603.0,755317.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-38,14.63,1.14,56.61,25.74,1.88,28.07,6.47,8.76,21.6,63.17,20.02,24.77,34.17,21.03,40.0,95408.0,757523.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-39,22.42,8.72,58.54,6.6,3.73,19.51,6.79,17.22,12.72,63.27,27.19,28.43,30.02,14.36,33.6,91138.0,756504.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-40,50.59,4.17,28.95,11.18,5.12,36.56,20.33,30.58,16.24,32.86,18.43,26.23,35.36,19.98,40.1,129096.0,758355.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-41,23.95,3.85,57.78,11.14,3.28,28.79,9.58,15.9,19.21,55.31,20.64,27.0,33.3,19.06,38.3,100351.0,757743.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-42,48.59,5.46,28.49,12.22,5.24,44.27,27.04,23.02,17.23,32.71,20.74,26.91,32.18,20.17,40.6,107649.0,757992.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-43,7.96,24.98,54.07,9.33,3.65,22.09,3.82,4.67,18.28,73.24,22.98,28.61,32.69,15.71,35.6,74851.0,754875.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-44,9.36,9.71,67.77,10.11,3.05,18.44,3.38,6.67,15.06,74.88,22.66,27.87,32.82,16.66,36.4,78132.0,757709.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-45,22.0,2.41,31.65,40.59,3.35,34.12,9.01,14.5,25.11,51.37,20.13,24.49,34.66,20.71,40.3,101783.0,758321.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-46,20.17,1.96,59.81,15.28,2.78,23.86,7.98,13.1,15.88,63.04,25.05,28.28,31.33,15.33,34.9,91111.0,757683.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-47,49.34,1.75,16.72,27.23,4.96,60.89,31.36,19.56,29.53,19.55,20.2,26.24,33.12,20.44,40.9,135936.0,759243.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-48,47.35,3.88,35.93,7.43,5.41,31.22,19.08,29.44,12.14,39.34,18.62,27.27,32.22,21.9,39.5,97555.0,758048.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-49,60.28,2.11,19.65,12.53,5.44,55.6,37.36,23.36,18.24,21.04,20.54,25.12,33.72,20.62,40.2,140026.0,758652.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-50,57.43,2.8,16.71,16.98,6.09,54.85,34.98,23.87,19.88,21.27,22.98,27.97,28.95,20.1,39.5,125087.0,759364.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-51,53.98,6.42,24.41,8.81,6.38,39.91,25.48,30.11,14.42,29.98,22.71,29.62,28.88,18.78,37.8,97504.0,758012.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CA-52,17.57,7.04,57.47,13.97,3.94,24.74,7.06,12.74,17.69,62.52,22.62,29.11,31.04,17.23,36.6,90656.0,761247.0,DRA_VAP_NH_2020+ACS_tract_new_lines
CO-01,54.58,8.52,27.9,3.5,5.5,55.65,43.07,17.89,12.58,26.46,24.12,34.93,25.96,14.99,35.1,91539.0,719744.0,ACS_2023_5yr
CO-02,76.54,0.82,14.14,3.34,5.17,58.77,50.56,29.81,8.21,11.43,26.1,24.8,29.82,19.28,37.5,98770.0,721105.0,ACS_2023_5yr
CO-03,67.44,0.85,25.9,0.77,5.05,32.31,26.85,45.54,5.46,22.15,17.85,24.31,31.8,26.03,41.6,69034.0,726135.0,ACS_2023_5yr
CO-04,75.72,1.67,14.53,3.42,4.66,47.03,39.11,39.87,7.92,13.1,17.57,27.65,35.12,19.66,39.4,111866.0,741771.0,ACS_2023_5yr
CO-05,66.2,5.58,18.44,2.78,6.99,41.28,32.5,38.68,8.78,20.04,24.52,28.18,29.5,17.79,34.9,87559.0,726912.0,ACS_2023_5yr
CO-06,56.51,9.93,22.37,5.52,5.66,44.64,33.73,28.93,10.91,26.43,20.28,29.61,31.6,18.51,37.3,96286.0,723968.0,ACS_2023_5yr
CO-07,75.93,1.19,15.39,2.97,4.51,48.2,41.08,38.13,7.12,13.67,17.69,27.44,32.66,22.21,41.2,100667.0,721623.0,ACS_2023_5yr
CO-08,52.16,1.89,39.12,2.94,3.9,28.8,21.79,36.92,7.01,34.29,22.62,31.07,30.5,15.81,34.7,91509.0,729516.0,ACS_2023_5yr
CT-01,57.37,14.48,18.17,5.75,4.23,39.16,27.55,34.43,11.6,26.41,19.86,24.83,33.0,22.31,40.4,86832.0,717481.0,ACS_2023_5yr
CT-02,78.5,3.35,9.85,3.48,4.82,38.86,33.31,49.29,5.54,11.86,19.34,22.12,34.45,24.09,42.6,95502.0,716835.0,ACS_2023_5yr
CT-03,60.91,12.97,17.52,4.29,4.32,39.78,29.41,36.93,10.37,23.29,20.58,23.41,33.08,22.93,40.9,87886.0,718781.0,ACS_2023_5yr
CT-04,56.46,10.79,22.39,5.96,4.4,53.62,39.6,19.97,14.02,26.41,18.69,24.63,35.87,20.8,40.4,115865.0,722755.0,ACS_2023_5yr
CT-05,61.67,7.79,21.03,4.06,5.46,38.62,29.94,37.49,8.68,23.89,18.22,23.51,34.87,23.4,42.0,88995.0,722496.0,ACS_2023_5yr
DE-AL,59.01,21.39,10.72,4.08,4.8,35.28,24.35,40.02,10.93,24.7,18.46,23.59,32.65,25.3,41.5,82855.0,1005872.0,ACS_2023_5yr
FL-01,72.16,12.15,6.69,2.93,6.08,31.45,25.0,48.69,6.45,19.87,20.6,25.38,32.11,21.9,39.6,78118.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-02,65.48,21.78,6.42,2.1,4.21,30.75,22.32,44.81,8.43,24.44,23.82,23.72,30.71,21.75,40.1,66224.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-03,67.73,14.51,10.64,3.2,3.92,28.24,19.82,49.08,8.42,22.68,22.91,22.4,28.83,25.86,41.6,62287.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-04,55.33,29.6,7.82,2.73,4.53,26.46,16.6,40.27,9.86,33.27,18.84,26.42,33.92,20.82,39.5,73635.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-05,67.49,11.08,10.86,5.88,4.69,44.43,32.03,36.39,12.4,19.18,19.68,26.9,31.92,21.51,40.1,95180.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-06,74.76,9.96,9.78,1.57,3.93,24.73,19.68,56.63,5.06,18.63,15.34,19.04,32.08,33.54,48.0,64057.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-07,64.59,8.42,18.97,3.88,4.13,36.11,24.31,41.36,11.8,22.53,17.34,25.0,33.19,24.47,42.7,84446.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-08,68.49,8.96,14.24,3.54,4.77,35.3,25.41,44.19,9.89,20.51,19.85,21.15,32.99,26.01,44.2,82272.0,769220.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-09,49.16,7.98,36.39,2.86,3.6,29.42,15.53,35.05,13.89,35.53,16.74,24.9,31.77,26.58,43.4,72455.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-10,35.83,24.37,30.41,4.29,5.1,33.48,17.06,19.19,16.42,47.34,23.68,29.25,30.42,16.65,36.7,70333.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-11,61.82,8.99,19.82,4.47,4.9,36.93,24.29,38.39,12.64,24.68,14.46,23.4,30.48,31.66,46.1,90693.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-12,58.89,8.48,24.81,3.87,3.95,33.18,21.32,38.19,11.86,28.63,17.95,25.7,33.25,23.1,41.8,78392.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-13,76.87,5.17,10.28,3.62,4.05,33.63,27.15,50.54,6.48,15.83,14.69,21.31,34.03,29.97,48.0,73532.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-14,55.17,10.89,26.02,3.73,4.19,37.23,23.42,32.88,13.81,29.89,18.32,28.08,33.27,20.33,40.1,90435.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-15,63.91,13.06,14.95,4.04,4.04,27.27,16.87,48.02,10.4,24.72,18.98,22.46,30.46,28.1,44.0,67927.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-16,70.67,10.81,12.91,2.17,3.43,34.69,28.03,44.81,6.66,20.5,14.68,19.83,32.91,32.59,48.4,78489.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-17,78.12,5.93,11.0,1.68,3.27,32.5,27.86,51.15,4.64,16.35,12.34,16.63,29.88,41.15,53.2,75334.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-18,56.25,13.03,24.92,2.02,3.78,23.68,14.73,41.29,8.95,35.03,19.63,25.52,30.38,24.47,40.0,66607.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-19,72.6,4.03,18.92,1.66,2.79,35.78,29.53,43.46,6.25,20.76,13.2,17.45,30.83,38.52,51.6,83863.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-20,30.12,38.84,23.26,2.86,4.92,28.25,11.08,18.39,17.17,53.36,18.32,26.4,32.7,22.58,41.0,66396.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-21,67.52,11.62,15.07,2.24,3.55,35.26,26.63,41.19,8.63,23.55,14.4,20.46,32.83,32.32,47.7,88319.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-22,48.96,11.73,30.99,4.09,4.22,40.54,22.23,26.99,18.3,32.47,17.02,23.72,35.99,23.28,42.6,105968.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-23,47.58,21.09,25.9,2.41,3.03,32.29,20.26,26.89,12.03,40.82,16.73,22.99,29.97,30.31,45.3,75351.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-24,11.6,43.09,40.92,1.57,2.82,23.11,4.68,6.75,18.43,70.14,19.95,28.22,32.23,19.61,38.8,60579.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-25,58.99,5.74,27.74,2.49,5.05,48.21,30.6,26.78,17.61,25.01,14.42,21.72,33.4,30.46,47.9,86013.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-26,12.54,7.94,74.27,3.2,2.06,34.29,5.5,6.94,28.78,58.77,17.13,25.46,36.64,20.77,42.7,84331.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-27,16.79,4.75,74.28,2.01,2.18,42.18,10.0,5.16,32.17,52.66,17.81,25.76,34.08,22.35,42.8,90977.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
FL-28,15.32,7.98,73.25,1.64,1.8,29.47,6.21,9.65,23.26,60.88,18.22,25.56,35.39,20.83,41.5,79632.0,769221.0,DRA_VAP_NH_2020+ACS_tract_new_lines
GA-01,57.06,28.37,7.99,1.81,4.76,27.9,19.3,41.86,8.6,30.23,22.42,26.3,30.66,20.62,36.8,66773.0,778015.0,ACS_2023_5yr
GA-02,39.3,49.58,6.05,1.33,3.74,21.35,11.68,31.59,9.67,47.06,22.08,24.97,31.46,21.49,37.2,50799.0,757600.0,ACS_2023_5yr
GA-03,64.23,23.54,6.39,1.95,3.9,28.65,20.53,47.26,8.12,24.09,19.34,24.36,34.76,21.54,39.2,77091.0,775231.0,ACS_2023_5yr
GA-04,25.64,53.32,11.11,5.6,4.32,40.88,17.45,11.67,23.42,47.45,21.4,28.53,32.84,17.23,36.3,74234.0,770385.0,ACS_2023_5yr
GA-05,36.01,47.91,7.48,4.43,4.17,54.9,31.18,7.94,23.73,37.16,26.23,30.21,27.7,15.86,35.0,80691.0,759666.0,ACS_2023_5yr
GA-06,63.53,8.84,10.64,11.99,5.0,59.12,39.04,27.63,20.08,13.25,16.05,27.72,38.02,18.22,40.0,126645.0,776224.0,ACS_2023_5yr
GA-07,29.75,28.87,23.41,13.57,4.4,40.93,17.01,17.0,23.93,42.07,21.09,27.9,36.08,14.93,36.1,84338.0,769543.0,ACS_2023_5yr
GA-08,57.6,29.66,7.6,1.54,3.6,23.04,16.49,45.13,6.55,31.83,21.88,25.41,31.8,20.9,37.4,60479.0,768869.0,ACS_2023_5yr
GA-09,64.09,9.99,16.21,6.0,3.71,30.29,21.53,47.83,8.77,21.87,19.41,23.28,34.49,22.82,40.4,76846.0,779431.0,ACS_2023_5yr
GA-10,62.16,23.6,8.27,2.29,3.69,29.64,21.29,44.35,8.35,26.01,23.08,25.15,32.28,19.49,37.2,74442.0,789054.0,ACS_2023_5yr
GA-11,61.03,16.78,13.19,3.84,5.16,42.7,28.75,36.29,13.95,21.02,21.82,27.14,32.99,18.05,37.3,92055.0,779392.0,ACS_2023_5yr
GA-12,51.76,36.31,5.82,1.71,4.4,23.95,15.46,39.52,8.49,36.54,22.44,25.7,31.29,20.57,37.0,59575.0,768903.0,ACS_2023_5yr
GA-13,16.37,64.25,12.3,3.37,3.71,30.67,6.12,13.56,24.55,55.78,21.46,28.57,34.31,15.66,35.7,72951.0,775125.0,ACS_2023_5yr
GA-14,68.1,13.66,13.25,1.17,3.83,23.25,16.35,55.79,6.9,20.96,19.92,25.67,34.57,19.84,38.5,71533.0,775152.0,ACS_2023_5yr
HI-01,14.83,1.93,8.21,49.26,25.78,38.95,8.35,7.22,30.59,53.83,18.68,25.88,30.64,24.79,40.7,102840.0,722336.0,ACS_2023_5yr
HI-02,27.41,1.67,11.47,24.25,35.21,31.85,14.0,17.64,17.86,50.51,18.35,24.9,31.26,25.5,40.4,93555.0,723299.0,ACS_2023_5yr
IA-01,83.94,4.09,5.8,2.27,3.9,32.2,28.31,58.95,3.89,8.85,21.64,24.09,31.31,22.97,38.8,72191.0,798572.0,ACS_2023_5yr
IA-02,86.76,3.93,3.91,1.52,3.88,28.79,26.41,63.75,2.38,7.46,20.34,23.27,31.67,24.71,39.7,71627.0,795074.0,ACS_2023_5yr
IA-03,79.08,5.15,8.31,3.76,3.7,36.03,31.63,51.82,4.4,12.14,20.05,27.67,31.85,20.43,37.3,79204.0,806699.0,ACS_2023_5yr
IA-04,82.53,1.86,9.93,2.13,3.56,26.28,23.71,63.15,2.57,10.57,22.11,22.62,30.85,24.42,38.7,70703.0,795592.0,ACS_2023_5yr
ID-01,80.3,0.65,12.14,1.03,5.87,29.57,25.94,57.95,3.63,12.48,18.71,25.58,31.84,23.87,39.0,76208.0,957699.0,ACS_2023_5yr
ID-02,78.36,0.72,14.56,1.53,4.83,32.94,29.01,52.8,3.93,14.26,24.41,26.11,29.45,20.03,35.1,72927.0,935597.0,ACS_2023_5yr
IL-01,36.57,48.48,9.5,2.06,3.39,32.08,14.9,23.01,17.18,44.91,20.14,24.06,33.8,22.0,39.8,71207.0,748580.0,ACS_2023_5yr
IL-02,34.23,46.29,15.3,1.0,3.18,24.07,9.32,29.16,14.76,46.77,19.78,24.32,33.59,22.31,38.8,61514.0,743574.0,ACS_2023_5yr
IL-03,39.75,5.03,45.83,6.6,2.79,35.74,22.75,22.45,12.99,41.8,21.71,29.81,31.81,16.66,36.4,86160.0,739856.0,ACS_2023_5yr
IL-04,23.9,4.63,65.88,4.26,1.32,23.99,12.24,16.22,11.76,59.79,22.22,27.43,32.8,17.56,36.5,72717.0,733798.0,ACS_2023_5yr
IL-05,70.33,2.78,12.37,10.68,3.84,65.38,50.16,22.96,15.22,11.66,21.3,29.47,29.85,19.37,37.7,113520.0,746503.0,ACS_2023_5yr
IL-06,70.38,4.98,15.4,5.83,3.41,43.91,33.76,40.48,10.15,15.61,16.69,24.87,33.88,24.57,41.4,98177.0,746605.0,ACS_2023_5yr
IL-07,30.5,41.25,16.36,8.5,3.39,47.12,26.78,7.87,20.34,45.01,25.37,31.1,26.98,16.54,35.2,80071.0,737077.0,ACS_2023_5yr
